,Dst_Index_nT,Kp_10,ap_index_nT
2025-12-07 05:17:07.566492,0.11997209,-0.059150025,-0.052946895
2025-12-07 06:17:07.566492,0.11476032,-0.05326242,-0.033342995
2025-12-07 07:17:07.566492,0.124927394,-0.051671818,-0.046787813
2025-12-07 08:17:07.566492,0.1212382,-0.040102586,-0.039469004
2025-12-07 09:17:07.566492,0.10752284,-0.049511284,-0.036145583
2025-12-07 10:17:07.566492,0.12415299,-0.039711982,-0.035337582
2025-12-07 11:17:07.566492,0.1355469,-0.052300557,-0.044410378
2025-12-07 12:17:07.566492,0.120598406,-0.051174432,-0.039793484
2025-12-07 13:17:07.566492,0.12440837,-0.054475382,-0.039630383
2025-12-07 14:17:07.566492,0.12582871,-0.039367326,-0.043953374
2025-12-07 15:17:07.566492,0.1267691,-0.0452611,-0.046603568
2025-12-07 16:17:07.566492,0.118099466,-0.04276102,-0.043684363
2025-12-07 17:17:07.566492,0.12547155,-0.039258458,-0.05106744
2025-12-07 18:17:07.566492,0.13102405,-0.052682184,-0.04336287
2025-12-07 19:17:07.566492,0.13377078,-0.06280313,-0.06223441
2025-12-07 20:17:07.566492,0.12869653,-0.056680612,-0.05875609
2025-12-07 21:17:07.566492,0.111289114,-0.050054498,-0.04450713
2025-12-07 22:17:07.566492,0.12073641,-0.039010964,-0.019212455
2025-12-07 23:17:07.566492,0.11046898,-0.04060013,-0.02596569
2025-12-08 00:17:07.566492,0.10342307,-0.040083207,-0.01998572
2025-12-08 01:17:07.566492,0.10869946,-0.034683034,-0.018160373
2025-12-08 02:17:07.566492,0.10650713,-0.035369113,-0.012526497
2025-12-08 03:17:07.566492,0.1007193,-0.017194718,-0.017929755
2025-12-08 04:17:07.566492,0.12273602,-0.0310468,-0.022140928
2025-12-08 05:17:07.566492,0.1258569,-0.036665343,-0.032217436
2025-12-08 06:17:07.566492,0.11668811,-0.03729432,-0.03237482
2025-12-08 07:17:07.566492,0.12711701,-0.04426425,-0.030471124
2025-12-08 08:17:07.566492,0.11953515,-0.050450668,-0.055497997
